[20200825,141762,142397,143093,141762,27384]
[20200824,144978,142357,144978,141722,44676]
[20200821,143083,143668,145553,142992,45366]
[20200820,144182,143587,145735,142770,53872]
[20200819,143859,144535,144585,143012,36566]
[20200818,144041,144273,144504,142891,34044]
[20200817,143819,144363,145321,142669,39632]
[20200814,142821,143466,144595,142478,38245]
[20200813,145382,143042,145493,142216,38998]
[20200812,144676,144636,145442,142690,44446]
[20200811,147005,143194,147761,143799,48332]
[20200810,147711,146420,148568,145624,54770]
[20200807,147227,147852,149858,146975,55131]
[20200806,147156,147973,148779,146299,57285]
[20200805,147317,148064,148457,146440,43718]
[20200804,147408,147731,149526,146249,48260]
[20200803,147509,148356,148719,144746,42877]
[20200731,148104,146733,148427,146420,46334]
[20200730,147933,148124,149435,147761,53903]
[20200729,149939,148316,152077,146854,43208]
[20200728,147912,147459,155656,147156,65393]
[20200727,143073,147600,148306,142720,39374]
[20200724,142770,143889,144807,142770,20778]
[20200723,144424,143980,144636,141943,15549]
[20200722,143284,143839,145109,143163,23018]
[20200721,141712,143859,143728,141611,20936]
[20200720,142770,142377,142770,141127,19192]
[20200717,141560,141883,143345,141560,20234]
[20200716,143244,142125,143244,140360,20973]
[20200715,143980,142972,144293,142932,16824]
[20200714,145291,143990,145291,142871,17608]
[20200713,139735,144696,145644,139382,19248]
[20200710,142720,140653,143748,139806,16142]
[20200709,142085,143274,142649,140925,13803]
[20200708,142367,142629,142740,141429,10422]
[20200707,142901,141883,143295,141601,8712]
[20200706,140421,142932,143516,140199,7499]
[20200703,139201,140552,141137,139030,6885]
[20200702,139443,139100,139463,138384,7074]
[20200701,139604,139312,139856,138364,7159]
[20200630,138294,139725,139937,137890,19899]
[20200629,138768,138223,138838,137790,12013]
[20200624,138990,138425,139473,138536,25980]
[20200623,138526,138828,139493,137731,38930]
[20200622,138778,138617,139876,137408,38117]
[20200619,139493,139060,139543,137579,35753]
[20200618,139040,138979,139805,138587,32514]
[20200617,138969,138849,139564,138395,39753]
[20200616,136371,139110,139151,135605,47832]
[20200615,138284,135897,138597,135424,45343]
[20200612,137177,138375,138415,136371,42118]
[20200611,139392,137640,140480,137509,44740]
[20200610,138838,140097,139584,137952,39165]
[20200609,137942,138446,139382,137338,40944]
[20200608,136925,137882,138395,136844,47012]
[20200605,135565,136945,135948,134759,41647]
[20200604,136774,135203,137378,134286,45005]
[20200603,136693,137146,137831,135938,39425]
[20200602,136109,136542,136542,134679,36370]
[20200601,135102,135928,136381,134276,43810]
[20200530,135384,135062,135394,135021,0]
[20200529,133060,135102,134740,133060,37874]
[20200528,133820,133180,133820,131900,32053]
[20200527,132500,132500,133630,132120,39039]
